date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-04-10,1017,NA,0.5123015,NA,10.181818,NA,NA,12.9
2021-04-10,1022,NA,0.2531505,0.082288,4.142857,0.0450705,34,15
2021-04-11,1017,NA,0.395644,NA,6.727273,NA,NA,NA
2021-04-11,1022,NA,0.236373,0.0731532,2.809524,0.0489035,NA,17.5
2021-04-12,1017,NA,0.37416649999999996,NA,10.142857,NA,NA,NA
2021-04-12,1022,NA,0.2043335,0.022802,3.238095,0.04730375,NA,15.7
2021-04-13,1017,NA,0.4575395,NA,14.363636,NA,NA,9.3
2021-04-13,1022,NA,0.19426300000000002,8.26e-5,2.95,0.0421445,NA,9
2021-04-14,1017,NA,0.397619,NA,12.363636,NA,NA,NA
2021-04-14,1022,NA,0.18780950000000002,0.0093,3.142857,0.05062475,NA,10
2021-04-15,1017,NA,0.39047600000000005,NA,11,NA,NA,NA
2021-04-15,1022,NA,0.19426949999999998,0.0167618,3.047619,0.0472305,28,10.4
2021-04-16,1017,NA,0.42698400000000003,NA,9.954545,NA,NA,12
2021-04-16,1022,NA,0.2132145,0.0317294,4.190476,0.045613,30,11.4
2021-04-17,1017,NA,0.45158750000000003,NA,7.818182,NA,NA,NA
2021-04-17,1022,NA,0.220635,0.029554,3.380952,0.048307,NA,12
2021-04-18,1017,NA,0.586553,NA,11.181818,NA,NA,NA
2021-04-18,1022,NA,0.2157775,0.0316182,4.095238,0.0477025,NA,NA
2021-04-19,1017,NA,0.566667,NA,21.136364,NA,NA,8.5
2021-04-19,1022,NA,0.292484,0.1038968,9.904762,0.044746,25,9.1
2021-04-20,1017,NA,0.4257935,NA,12.227273,NA,NA,NA
2021-04-20,1022,NA,0.220746,0.0636202,4.142857,0.04067075,NA,13
2021-04-21,1017,NA,0.380159,NA,10.5,NA,NA,NA
2021-04-21,1022,NA,0.182405,8.763999999999999e-4,2.285714,0.04100425,NA,5.5
2021-04-22,1017,NA,0.434524,NA,11.727273,NA,NA,4.5
2021-04-22,1022,NA,0.20707150000000002,1.594e-4,4.190476,0.038661,10,4.2
2021-04-23,1017,NA,0.4539685,NA,10.545455,NA,NA,NA
2021-04-23,1022,NA,0.20259500000000003,7.960000000000001e-5,3.809524,0.04162325,NA,6.7
2021-04-24,1017,NA,0.4468255,NA,6.954545,NA,NA,NA
2021-04-24,1022,NA,0.1966905,3.188e-4,2.190476,0.0448315,NA,7.2
2021-04-25,1017,NA,0.375947,NA,4.909091,NA,NA,6.1
2021-04-25,1022,NA,0.183595,7.968e-4,1.333333,0.0422085,13,5.5
2021-04-26,1017,NA,0.3444445,NA,9.772727,NA,NA,NA
2021-04-26,1022,NA,0.181,0,2.761905,0.041478,NA,2.2
2021-04-27,1017,NA,0.38174600000000003,NA,11.318182,NA,NA,NA
2021-04-27,1022,NA,0.187262,1.702e-4,3.380952,0.0407855,NA,3.5
2021-04-28,1017,NA,0.5595235,NA,18.090909,NA,NA,6.4
2021-04-28,1022,NA,0.24074600000000002,0.0855274,6.714286,0.041204500000000005,15,5
2021-04-29,1017,NA,0.666667,NA,22.181818,NA,NA,NA
2021-04-29,1022,NA,0.30299200000000004,0.1631304,10.428571,0.04765275,NA,7
2021-04-30,1017,NA,0.6916665,NA,21.954545,NA,NA,NA
2021-04-30,1022,NA,0.36215050000000004,0.1575792,11.619048,0.05016075,NA,9.6
2021-05-01,1017,NA,0.451984,NA,8.045455,NA,NA,10.5
2021-05-01,1022,NA,0.250405,0.030510199999999998,3.761905,0.0388285,25,11.1
2021-05-02,1017,NA,0.26818200000000003,NA,5.181818,NA,NA,NA
2021-05-02,1022,NA,0.1853335,7.968e-4,1.714286,0.037311,NA,6.3
2021-05-03,1017,NA,0.44801599999999997,NA,11.272727,NA,NA,NA
2021-05-03,1022,NA,0.206476,0.0232742,3.285714,0.03996625,NA,10.1
2021-05-04,1017,NA,0.490873,NA,12.318182,NA,NA,11.5
2021-05-04,1022,NA,0.2797225,0.0606666,6.761905,0.042133000000000004,32,12.5
2021-05-05,1017,NA,0.559127,NA,14.545455,NA,NA,NA
2021-05-05,1022,NA,0.285397,0.026153600000000003,6.761905,0.04265075,NA,12
2021-05-06,1017,NA,0.41666650000000005,NA,10.090909,NA,NA,NA
2021-05-06,1022,NA,0.2311425,0.0042156,3.857143,0.04220825,NA,11.8
